age,weight,height,waist_circum,head_circum
4.219,15.5,103.3,47.5,49.8
4.326,17.6,103.9,49.8,50.6
4.476,23,111.2,52,51.2
3.841,16.5,99.7,49.1,48.9
3.46,15,99.7,46.5,47.3
3.723,17.9,98.7,50.3,51.3
3.394,13.4,94.1,45.9,50.7
3.608,13.5,93.3,46.1,49
5.58,19.4,116.4,50.7,52.9
5.23,18.8,110,53.5,52.4
4.893,16.5,109.4,52.1,49.9
13.561,35.1,149.3,64.1,53.8
13.736,49.9,157.8,66.4,53.2
13.953,55.8,161.8,72.3,54.9
13.397,68.5,157.7,87.6,51.7
13.345,40,146.8,65.2,51.2
12.539,48.4,156.3,69.5,60
12.413,35.9,152.8,61.2,54.7
13.884,37.8,148.5,62.6,54
12.868,35,145.1,60.3,51
12.772,43.2,157.6,64.4,54.7
11.928,42.5,149.4,69.6,53.3
12.706,34.1,139.9,64.6,50.8
12.767,41.6,143.9,76.1,52.9
12.095,49.6,152,78.3,56.6
14.471,54.8,168.7,68.8,55.2
13.55,60.6,174.2,74.2,55.8
12.145,36.8,154.1,58,51.8
12.199,44,158.9,63.6,54
13.832,41.5,155.8,63.5,55
12.312,42.9,158.8,67.8,53.3
12.917,40.5,155.6,59.8,53.1
13.364,85.8,167.5,98.3,55.3
14.213,43.6,153.3,67.1,51.6
13.452,44.4,154.4,66.8,53.2
13.523,53.6,159,69.4,54.2
13.915,50.8,161.8,70.1,54.9
13.731,51.7,165,68,56.4
14.309,31.6,138.8,58.7,50.4
12.95,66.4,162.2,86.7,55.2
13.726,36.5,151.4,62.1,53
12.906,53.5,155.6,65.9,53.4
13.926,49.8,154.4,73.2,52
13.657,34.9,155,57.7,53.6
12.619,34,144.3,61.6,52.4
13.635,77.3,175.8,84.8,54.7
13.953,55.3,168.3,66.3,53.9
13.038,62.6,171.2,73.2,55.9
12.098,37.1,142.2,64.1,53.6
12.235,58.4,154.2,84.2,56.1
12.712,37.1,144.7,62.6,50.6
10.134,33.4,144.2,60.6,50.8
10.079,35.1,136.3,61.1,52.8
5.976,19.6,114,51.2,52.1
6.531,22.2,120.6,50.4,51.4
11.723,41,147,64.1,54.6
5.761,18.1,112.1,45.8,53
5.024,15.8,106.1,44.5,51.6
8.775,30.6,130.5,62.4,53.7
9.109,32,136.7,57.6,52.4
10.079,28.2,130.4,56.7,52.6
7.32,23.7,120.8,51.9,50
6.893,41.2,120.4,75.2,53.2
11.197,30.9,138.3,59.3,52.2
8.693,32.6,140.3,55.5,51
8.197,32,131.9,59.4,53.6
7.197,20.5,119.1,52.4,49.6
7.676,23.5,125,55.3,51
8.841,24.4,125.3,53.7,51.7
8.482,26.7,133.2,54.2,51.6
7.58,23.5,118.2,59.3,51.6
7.361,28.3,128,59.3,50.1
11.98,35.5,148,64.7,51.6
5.073,17.6,108.7,52.2,49.8
6.767,25,123.4,55.4,53.1
6.802,26.6,126.7,58.2,50.7
4.989,16.1,114.5,49,49.8
8.394,19.6,111.5,50.5,49.3
8.808,22,126.4,52.2,50.7
8.838,38,136.6,70.2,53
8,21.1,123.9,51.6,50.3
11.345,35.2,149.8,57.7,53.8
9.723,25.6,127.2,56.3,54.1
10.473,46.5,143.3,77.3,54
11.498,52.6,150.8,76,55.2
12.221,54.5,150.6,90.3,54.2
10.712,30.6,140.1,55.6,54.5
10.542,59.2,144.9,87.3,55.9
9.75,31.1,138,55.2,52.7
10.073,30.4,136.5,55.6,51.2
10.715,31.6,139.8,55,50.6
12.975,30.7,137.5,56.4,53.7
11.372,38.8,148,64.4,53.9
12.172,40.6,149,64.6,53.9
11.205,40.2,144.3,65.1,54.7
11.024,41.5,154.6,63.2,55.2
11.731,39.2,148.7,62,54.8
11.835,34.4,145.2,59.5,53.1
11.873,35,153.2,59.4,53.5
9.695,26,133.5,52,49.1
9.027,34.8,129.2,63.5,53.6
9.83,33.5,136.6,62,52.4
10.087,42,150.3,61.5,56
10.657,46,156.7,68.1,57.3
10.284,25.5,125.8,57.9,51.6
10.383,36.2,147.7,61.6,54
11.282,36,140.5,68.1,53.3
11.06,33.2,138,63.8,49.9
11.857,35.3,142,62.5,52.6
11.52,50,150.3,77.3,52.4
5.145,17,106,54.9,49.9
15.605,33,147.3,56.9,53.8
16.654,75.6,182.9,76.4,59.9
17.402,80.1,182.4,80.3,58
17.504,75.4,172.3,78.1,56.9
17.92,78.7,180.3,84.6,58.5
17.356,67.1,173.3,73.2,56.2
18.6,80,186.6,80.5,60.7
16.986,106.2,184.8,106.3,60.3
17.347,73.1,180.9,73.9,60.1
16.734,70.7,175.3,79,57.6
18.539,46.6,154.3,71.1,53.6
17.668,50.9,167.1,66,56
16.254,61.3,170,67.7,56.2
15.082,56.7,166.9,76.5,56
15.071,65.4,172.2,73,60.5
16.676,60.5,169.3,76.5,58.4
16.517,49,162.1,70.9,55.5
14.61,48.5,156,62.1,54.3
14.356,51,158.2,71.9,55.6
15.468,50.2,162.6,69.5,53.7
15.526,52,154.1,72.1,54.2
16.92,58.2,169.7,79.5,53.6
17.463,41.1,154.9,67.4,52.8
15.693,50.7,157.7,70.4,52.9
16.158,45.2,156.2,66.5,56.5
16.01,47.5,163.3,68.5,53.2
18.06,49.5,154.3,68.3,54.6
17.602,52,152.4,69.4,58.2
15.761,47.7,153.2,69.7,55.7
15.693,46.5,154.8,73.1,56
17.257,52.9,157.7,68,55.2
18.021,44.5,160,66.5,51.8
16.202,46.4,156.8,71,52
15.956,57.7,160.7,71.6,55.7
14.843,58.3,170.1,74.6,54
14.8,51,160.7,69.6,55.2
17.254,58.1,161.6,72.4,54.6
15.709,48.2,166.1,71,52.5
16.024,74.8,162.7,105.4,55.9
20.054,63.5,174.4,75.9,57.5
14.917,62.8,169.6,85.9,56.3
16.983,96.4,183.1,98.5,58.8
14.832,39.2,155.8,58.9,54.8
14.265,47.4,168.2,65.1,53.9
15.205,53.5,181.4,65.8,53.5
15.747,81,179.5,91.1,58.4
15.002,51.7,164.5,67.1,60.7
18.641,65.1,172.8,74,56.4
16.18,58.1,172.3,67.7,57.6
16.978,63.9,172,74.9,57.8
16.473,79.5,175.5,75,60.9
17.452,69.6,172.7,73.9,56.2
14.345,39.5,154.6,61.5,53.1
17.668,50.3,167.1,75.7,53.5
16.339,72.5,162.9,88,57.7
16.643,50,164.4,70.6,54.2
17.868,44.7,157.4,72.1,54.7
15.43,55.2,162.2,71.9,56.2
4.961,19.6,106.2,50.9,50.1
4.356,18.2,107.8,48.7,49.9
4.632,23.3,116.6,52.6,51.7
3.972,17.4,103.9,49.7,49.7
2.854,15.4,93.6,47.1,47.1
4.18,16.2,105.2,49.6,49.5
3.569,17.7,103.3,52.6,51.8
3.939,13.6,99.9,44.4,47.8
6.498,20.3,115.9,52.4,52.6
8.482,54.2,138.3,85.5,54
8.715,31.3,129.4,63.6,52.2
8.241,28,129.1,56.2,52
8.164,27,130.3,57.9,53.2
6.224,23,119.3,54.8,51.2
6.961,43.6,125.3,84.5,54.8
8.369,22.5,140,52,54.9
8.745,34.3,130.6,59.7,54.2
7,24,122.9,52.9,51.2
6.786,26.5,130.9,55.8,53.7
6.846,28.8,129.7,53.3,50.8
6.205,20.1,118.3,46.5,48.5
6.427,20.6,118.4,50.7,50.2
7.638,23.5,122.3,50.2,52.1
5.947,17.1,110.1,44.4,49
5.75,18.4,110.4,45.9,48.1
6.071,15.6,102.9,46.6,50.3
6.506,32.9,123.6,63.1,54.4
7.361,26.1,127.5,53.1,50.1
8.704,24.4,128.5,53.8,51.7
7.512,27.6,122.2,54.8,52.1
6.6,23,123.1,54.2,51.3
6.654,17.5,109,49.8,48.4
9.621,38.4,141.2,63.6,52.1
7.621,22.8,122.1,53.6,51.9
7.961,28,134,55.6,51.5
7.569,20.8,119.7,50.4,50.4
7.838,20.6,122.8,45.4,49.6
7.397,20.7,117.4,52.2,48.8
6.323,28,125.3,59.4,51.5
8.254,24.3,120.4,56.5,51.3
8.282,24.1,131.5,49.8,50.2
8.569,28.8,135.6,56.6,52.7
7.254,29.4,121.4,63.8,50.7
5.523,20.7,113.3,51.1,51.1
5.98,21.7,112.9,51.1,53.1
6.912,24.5,119.2,50.3,51.2
7.986,22.5,124,54.1,51.4
8.789,32.8,135.8,58.3,51.2
7.131,20.2,122.8,50.9,50.9
8.726,25.7,134.3,52.9,50.9
6.09,21.4,116.5,51.8,52.7
7.482,34.4,133.5,66.4,51.5
7.227,21.8,123.7,52.2,49.2
5.786,29.9,127,65.3,53.4
5.331,18.5,105.3,50.9,49.2
6.238,20,117.9,50.8,48.3
7.441,24,125.8,53.1,52.7
5.52,21.3,112.8,54.1,50.4
3.786,13.8,95.7,44.8,46.5
4.846,16.5,106.3,46.9,50.1
5.057,18.7,109.4,49.3,50.7
4.684,16.8,106.2,48.3,50.8
3.731,16.2,102.2,48.7,51.4
